№,Описание,ОР
2,"Продукты в корзину не добавляются, если в body id продукта = пустое поле и  quantity= пустое поле , валидное id корзины = 4",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
3,"Продукты в корзину не добавляются, если в body нет строки id продукта, валидное id корзины = 4",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
4,"Продукты в корзину не добавляются, если в body нет строки quantity,валидное id корзины = 4",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
"Получение списка продуктов, которые добавили в корзину — ручка GET /api/v1/orders/:id",,
1,"Получение списка продуктов , которые добавили в корзину, по валидному id = 4",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Список продуктов получен
2,"Получение списка продуктов , которые добавили в корзину,  без  id",Код и статус ответа  401 Unauthorized
,,Структура ответа соответствует документации
,,Список продуктов не получен
3,"Получение списка продуктов , которые добавили в корзину, по НЕ валидному id=25",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Список продуктов не получен
4,"Получение списка продуктов , которые добавили в корзину, по НЕ валидному id= #",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Список продуктов не получен
5,"Получение списка продуктов , которые добавили в корзину, по  отрицательному id =-1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Список продуктов не получен
Возможность удалять корзину— ручка DELETE /api/v1/orders/:id,,
1,Возможность удалять корзину во валидному id=4,Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Корзина удалена
2,Удаление уже удаленной корзины,Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,нельзя удалить уже удаленную корзину
3,Удаление по невалидному id = 25,Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Корзина не найдена
4,Удаление по некорретному id=1.5,Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Корзина не найдена
